trial 	RT  	Trial Start Time
333  	393 	2277726
334  	345 	2280630
335  	371 	2283477
336  	366 	2287356
337  	412 	2293229
338  	377 	2296152
339  	396 	2301040
340  	140 	2305947
341  	740 	2308591
342  	418 	2316842
343  	396 	2320768
344  	371 	2323675
345  	374 	2331552
346  	450 	2334435
347  	398 	2343388
348  	390 	2353295
349  	357 	2363196
350  	409 	2368064
351  	414 	2371980
352  	442 	2374903
353  	783 	2382853
354  	472 	2394147
355  	811 	2398127
356  	387 	2401447
357  	367 	2411340
358  	461 	2422215
359  	486 	2426182
360  	352 	2435174
361  	449 	2439039
362  	512 	2445999
363  	326 	2456016
364  	363 	2462848
365  	436 	2466719
366  	347 	2475663
367  	416 	2479522
368  	320 	2484448
369  	364 	2488276
370  	415 	2493147
371  	380 	2503072
372  	391 	2507958
373  	343 	2514859
374  	413 	2524714
375  	451 	2534633
